,dim,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Afrique_n,13,séquoia_n,0.8651965856552124,marmara_n,0.8334006071090698,en_général_b,0.8193512558937073,fret_n,0.8046854734420776,procureur_n,0.7982609868049622,donateur_n,0.7956757545471191,anémie_n,0.793016254901886,cacahuète_n,0.788159966468811,frein_n,0.787234365940094,ponctuellement_b,0.7787522077560425
Afrique_n,30,Asie_n,0.7888302803039551,cellulose_n,0.7209149599075317,kabbale_n,0.697655200958252,variole_n,0.6967301368713379,systole_n,0.687106192111969,magnétosphère_n,0.6774716377258301,sagittaire_n,0.6719099283218384,métallurgie_n,0.6684842705726624,Corée_du_Nord_n,0.6676894426345825,betterave_n,0.6503780484199524
Afrique_n,200,Asie_n,0.8149311542510986,Amérique_n,0.6968966126441956,Inde_n,0.6340232491493225,Galice_n,0.5691570043563843,Afghanistan_n,0.5629183053970337,Corée_n,0.561811089515686,Australie_n,0.556164026260376,Yougoslavie_n,0.5516937375068665,Amérique_du_Nord_n,0.5515297651290894,Balkans_n,0.5360100269317627
Afrique_n,sim100,séquoia_n,3.135204315185547e-05,marmara_n,3.0994415283203125e-06,en_général_b,1.0775189399719238,fret_n,1.0465816259384155,procureur_n,1.5309040546417236,donateur_n,1.3009811639785767,anémie_n,0.0,cacahuète_n,3.2186508178710938e-06,frein_n,3.129243850708008e-05,ponctuellement_b,1.0702589750289917
Amérique_du_Nord_n,30,Guyane_n,0.8221963047981262,astrologie_n,0.7808805704116821,Guinée_équatoriale_n,0.7678110599517822,Amérique_du_Sud_n,0.7600840330123901,Martinique_n,0.7555980086326599,araméen_n,0.7400326728820801,Asie_n,0.7294908761978149,conduction_n,0.7231948375701904,titane_n,0.7226229310035706,Inde_n,0.7217501401901245
Amérique_du_Nord_n,200,Amérique_du_Sud_n,0.7259354591369629,Algérie_n,0.6201098561286926,Inde_n,0.6146770119667053,Irlande_du_Nord_n,0.6033046245574951,Asie_n,0.5987299680709839,Australie_n,0.5925711393356323,anjou_n,0.5881457328796387,Guyane_n,0.5871295928955078,Indonésie_n,0.5769072771072388,alberta_n,0.5676857233047485
Amérique_du_Nord_n,sim100,bistro_n,0.005510151386260986,internationalisme_n,1.1920928955078125e-07,effluent_n,1.2278556823730469e-05,Santa_Barbara_n,1.7881393432617188e-07,inséparablement_b,1.1920928955078125e-07,dictature_n,0.001499772071838379,carie_n,2.9206275939941406e-06,densément_b,1.1920928955078125e-07,monarchie_n,1.1920928955078125e-07,neurologique_a,1.1920928955078125e-07
Amérique_du_Nord_n,13,bistro_n,0.8858476877212524,internationalisme_n,0.8822023272514343,effluent_n,0.8738812208175659,Santa_Barbara_n,0.8667284846305847,inséparablement_b,0.8661762475967407,dictature_n,0.8515710830688477,carie_n,0.8455089926719666,densément_b,0.8333806991577148,monarchie_n,0.8307875394821167,neurologique_a,0.8306453227996826
Amérique_du_Sud_n,30,anjou_n,0.7983589172363281,astrologie_n,0.7772136926651001,Caroline_du_Nord_n,0.7695711851119995,Amérique_du_Nord_n,0.7600840330123901,Caroline_du_Sud_n,0.7595804333686829,Inde_n,0.7516770362854004,Guinée_équatoriale_n,0.7499257326126099,Sicile_n,0.744886577129364,Nouveau-Mexique_n,0.7432621717453003,alberta_n,0.734285295009613
Amérique_du_Sud_n,200,Indonésie_n,0.7264958024024963,Amérique_du_Nord_n,0.7259353995323181,Irlande_du_Nord_n,0.6944220066070557,Inde_n,0.6651759147644043,anjou_n,0.6614612340927124,Utah_n,0.6599311232566833,Arizona_n,0.6494815349578857,Australie_n,0.6484498977661133,Arménie_n,0.6449399590492249,Algérie_n,0.6443250179290771
Amérique_du_Sud_n,sim100,impunité_n,1.1920928955078125e-07,extrémisme_n,1.1920928955078125e-07,ignorance_n,1.1920928955078125e-07,mélancolique_n,1.7881393432617188e-07,pourpre_n,1.1980533599853516e-05,propension_n,1.6621229648590088,rituel_n,2.8014183044433594e-06,chamanisme_n,1.1920928955078125e-07,subvention_n,1.1980533599853516e-05,hypertrophie_n,1.7881393432617188e-07
Amérique_du_Sud_n,13,impunité_n,0.8823888897895813,extrémisme_n,0.8774399757385254,ignorance_n,0.8569080233573914,mélancolique_n,0.8478041887283325,pourpre_n,0.844578742980957,propension_n,0.8384287357330322,rituel_n,0.8366342186927795,chamanisme_n,0.8361696004867554,subvention_n,0.8288117051124573,hypertrophie_n,0.8273168802261353
Arizona_n,sim100,séduction_n,1.233816146850586e-05,jambon_n,1.4781951904296875e-05,Wyoming_n,3.2782554626464844e-06,Utah_n,1.2278556823730469e-05,Guadalajara_n,1.2278556823730469e-05,Norfolk_n,3.4570693969726562e-06,licence_n,1.358139991760254,quinine_n,3.5762786865234375e-06,conversion_n,1.4049804210662842,Wisconsin_n,3.4570693969726562e-06
Arizona_n,13,séduction_n,0.8617138266563416,jambon_n,0.8562186360359192,Wyoming_n,0.8536028861999512,Utah_n,0.8415273427963257,Guadalajara_n,0.8364412784576416,Norfolk_n,0.8355120420455933,licence_n,0.8266041278839111,quinine_n,0.8175908923149109,conversion_n,0.8132610321044922,Wisconsin_n,0.8100829720497131
Arizona_n,30,Arkansas_n,0.8407021760940552,Utah_n,0.8331733345985413,Oregon_n,0.8133441209793091,Caroline_du_Nord_n,0.8102268576622009,alberta_n,0.8042563796043396,Nebraska_n,0.802594780921936,Caroline_du_Sud_n,0.7980756759643555,Wyoming_n,0.7940207123756409,Essex_n,0.7886120080947876,Minnesota_n,0.787276029586792
