,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
même_b,capitulation_n,0.8894295692443848,verste_n,0.8668147921562195,informateur_n,0.8652757406234741,paroxysme_n,0.8529877662658691,involontairement_b,0.8449076414108276,sobrement_b,0.8347871899604797,globe_n,0.8201119303703308,morgue_n,0.8186618089675903,Juif_n,0.8012697100639343,Cy_Young_n,0.796343207359314
ennui_n,éternellement_b,0.8383255004882812,réussite_n,0.8276334404945374,scandaliser_v,0.8202803730964661,noblement_b,0.8165815472602844,trouble_n,0.8042101860046387,chagrin_n,0.796379804611206,brader_v,0.7938332557678223,dangereux_a,0.7872183322906494,Van_n,0.7834688425064087,arbre_n,0.7829288244247437
arriver_v,là-dessus_b,0.8792483806610107,discutable_a,0.8604746460914612,vaguer_v,0.8497918248176575,urgent_a,0.8226646780967712,prudemment_b,0.8165475130081177,demi-dieu_n,0.805699348449707,établi_n,0.7860573530197144,badiner_v,0.7836863994598389,à_juste_titre_b,0.7817046046257019,orthographier_v,0.7812747359275818
septième_a,isotopique_a,0.8671924471855164,laiteux_a,0.8519078493118286,monstrueusement_b,0.8220486044883728,nutritionnel_a,0.8078724145889282,sixième_a,0.7982606887817383,scarole_n,0.7971374988555908,huileux_a,0.7912929058074951,essuie-glace_n,0.7905040979385376,anormalité_n,0.7875673174858093,hypoglycémiant_a,0.7790055871009827
explorateur_n,turbidité_n,0.8356314897537231,insulaire_n,0.8246174454689026,bambin_n,0.8113113045692444,consécration_n,0.7998387813568115,tresse_n,0.7816832065582275,Crésus_n,0.7782474160194397,infaisable_a,0.7712705731391907,Limeira_n,0.7695423364639282,astre_n,0.7681907415390015,détonation_n,0.7519510984420776
résoudre_v,passable_a,0.8589636087417603,Mark_Rothko_n,0.8289397954940796,micelle_n,0.8173877000808716,yoruba_n,0.799083411693573,boolien_a,0.7981153726577759,gloriette_n,0.7935376167297363,Ptolémée_n,0.7907201647758484,vascularite_n,0.7855095863342285,affreusement_b,0.7850592136383057,aquila_chrysaetos_n,0.7748023271560669
lendemain_n,élisabéthain_a,0.8850950002670288,ordinairement_b,0.7894919514656067,Plácido_Domingo_n,0.7791619300842285,présentateur_n,0.7716662287712097,enregistrement_n,0.7683327198028564,jeux_Olympiques_n,0.7606426477432251,justement_b,0.7574110627174377,assaisonner_v,0.7480118870735168,gigogne_a,0.7469748854637146,Elizabeth_Taylor_n,0.7451819777488708
rosier_n,inquisition_n,0.9069468379020691,explosion_n,0.8948271870613098,verrouiller_v,0.8701337575912476,sérieux_a,0.8656842708587646,hanter_v,0.8592597246170044,pollinisation_n,0.8539748191833496,cassette_n,0.853593111038208,paver_v,0.8513098359107971,surréaliste_n,0.8218672871589661,biome_n,0.8197465538978577
considérable_a,touristique_a,0.8102086186408997,ventriloque_n,0.8070317506790161,idéal_a,0.7992426753044128,remarquable_a,0.7854589223861694,fade_a,0.7744962573051453,hospitalier_a,0.772127091884613,financier_a,0.7646349668502808,déléguer_v,0.7620798349380493,naïf_a,0.7583256959915161,littéraire_a,0.750537633895874
gênant_a,essentiel_a,0.833798348903656,primordial_a,0.7926360368728638,imminent_a,0.7924894094467163,décontenancer_v,0.7897014617919922,repas_n,0.7846766710281372,dissuasif_a,0.7832321524620056,secousse_n,0.7831161022186279,insoluble_a,0.7827808260917664,attester_v,0.7800543308258057,tourbillon_n,0.7632778286933899
enrouler_v,pavaner_v,0.8548685908317566,aplatir_v,0.8407444953918457,arbrisseau_n,0.8245022296905518,tout_compte_fait_b,0.8218436241149902,expert-comptable_n,0.8199663758277893,miraculeusement_b,0.8191655874252319,insecte_n,0.8073885440826416,calciner_v,0.8072006702423096,blanchisserie_n,0.8046218156814575,piller_v,0.796377420425415
peiner_v,arbitre_n,0.8481969833374023,avantager_v,0.8375701308250427,voie_n,0.8316306471824646,survenir_v,0.8303864598274231,carcan_n,0.8256989121437073,politiquement_b,0.8244898915290833,autosuffisant_a,0.819295346736908,chaotique_a,0.8152590990066528,gisement_n,0.812939465045929,trace_n,0.8105964064598083
apercevoir_v,arythmie_n,0.8809553384780884,chauffe-eau_n,0.8789121508598328,contraceptif_n,0.8610190153121948,jeûne_n,0.8575814962387085,lettrage_n,0.8455129265785217,phosphatase_n,0.8234421014785767,anévrisme_n,0.8212070465087891,amanite_n,0.8207205533981323,récidive_n,0.8136129379272461,gypaète_n,0.8131148815155029
soif_n,dalmatien_n,0.8231430649757385,inutilisé_a,0.8145394921302795,mélatonine_n,0.8077802658081055,toit_n,0.7993771433830261,triomphal_a,0.7922764420509338,indien_n,0.7886273860931396,conformité_n,0.7878132462501526,albinos_n,0.7811936736106873,hoquet_n,0.7747099995613098,catapulte_n,0.7690788507461548
ponctuellement_b,rut_n,0.8832206726074219,gériatrie_n,0.853951632976532,aménorrhée_n,0.8533666133880615,antonymie_n,0.8395360112190247,lettrage_n,0.8132216334342957,bore_n,0.8116581439971924,hydrolyse_n,0.8110216856002808,supination_n,0.8080095052719116,évitement_n,0.8070643544197083,marmara_n,0.8033195734024048
gros_a,petit_a,0.9163665175437927,zététique_n,0.8368210196495056,cupide_a,0.8364585638046265,beau_a,0.8357113003730774,hippocampe_n,0.8288949728012085,Venezuela_n,0.8165493011474609,tant_b,0.8165411949157715,végétal_n,0.8164703845977783,pompeux_a,0.8060696125030518,laid_a,0.8060418367385864
éruption_n,ajustement_n,0.878451943397522,chimiothérapie_n,0.8330644369125366,exponentielle_n,0.830665111541748,dilettante_n,0.830402135848999,dodécaèdre_n,0.828849196434021,envisager_v,0.8278898000717163,doublon_n,0.8274233341217041,protubérance_n,0.8116064071655273,précipitation_n,0.8081905841827393,péritonite_n,0.8020201921463013
mauvais_a,illustre_a,0.8742873072624207,dialoguer_v,0.8642830848693848,piger_v,0.8337355852127075,indivisible_a,0.8217271566390991,fameux_a,0.8090607523918152,véritable_a,0.7994405031204224,célèbre_a,0.7987228631973267,bon_a,0.7981520891189575,axer_v,0.7940283417701721,plagier_v,0.7915005087852478
pâle_a,intercepter_v,0.9084969162940979,inconscient_a,0.8872047662734985,marginalisation_n,0.8686251044273376,unilatéralisme_n,0.8655178546905518,fouiller_v,0.8654122948646545,contraire_a,0.862837553024292,Australie_n,0.862393319606781,malheureusement_b,0.8585747480392456,serré_a,0.8570782542228699,retoucher_v,0.8515383005142212
fatigant_a,externaliser_v,0.8675693869590759,criminel_a,0.8657758235931396,ignorant_a,0.8646697998046875,sucette_n,0.8564424514770508,tranquille_a,0.8538981676101685,quadriller_v,0.8436529040336609,enthousiasmer_v,0.8431065678596497,sociable_a,0.8428597450256348,empoisonneur_n,0.8415367007255554,chicorée_n,0.8398504257202148
tâche_n,misanthrope_n,0.938898503780365,galère_n,0.9178192019462585,poivre_n,0.9085023403167725,Abidjan_n,0.9061329364776611,pétrifier_v,0.8794277310371399,surhumain_a,0.8731220364570618,abrutissement_n,0.8670249581336975,submerger_v,0.8587827682495117,humide_a,0.8558834195137024,illettré_a,0.8518291711807251
épouvantable_a,miracle_n,0.891432523727417,modeste_a,0.8779895305633545,Russie_n,0.8762905597686768,initial_a,0.850517213344574,lycée_n,0.8341498374938965,ellipse_n,0.8293275833129883,prédominance_n,0.8279191255569458,nettoyeur_n,0.826322078704834,chaussette_n,0.8189895153045654,abrutissement_n,0.8155794739723206
obligé_a,percolation_n,0.8631841540336609,léporidé_n,0.8561286926269531,désunion_n,0.8454850912094116,stipule_n,0.8323742747306824,Arequipa_n,0.8316192626953125,arbitrairement_b,0.8157923817634583,Central_Intelligence_Agency_n,0.8088101744651794,titanesque_a,0.8086786270141602,matériel_n,0.8051574230194092,salafisme_n,0.7877473831176758
courroie_n,tourbillon_n,0.884149432182312,cyclone_n,0.8828972578048706,éclair_n,0.880483090877533,panneau_n,0.8566216230392456,obstacle_n,0.8551790714263916,candélabre_n,0.8500795364379883,fiacre_n,0.8482847809791565,meurtrière_n,0.8375890254974365,criminel_n,0.8328847885131836,euphémisme_n,0.8238798975944519
